"X","Project.ID","Deployment.Location.ID","Latitude","Longitude","Camera.Deployment.Begin.Date","Camera.Deployment.End.Date","Time.Zone","Bait.Type","Feature.Type","Quiet.Period.Setting","Camera.Failure.Details","Camera.Make","Height","Angle"
53,"Bighorn","BH47",52.33239538,-115.6461561,"Oct-02-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
54,"Bighorn","BH48",52.34541912,-115.5613432,"Oct-02-2019","9-Sep-20","GMT-6","Scent","Game trail",0,"Camera Hardware Failure","Reconyx PC900","Varied","Pointed down"
55,"Bighorn","BH49",52.29500321,-116.5907078,"Oct-06-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
56,"Bighorn","BH51",52.2922354,-116.3787451,"Oct-01-2019","8-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
57,"Bighorn","BH52",52.30535567,-116.3283572,"Oct-03-2019","8-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
58,"Bighorn","BH53",52.29946682,-116.1893791,"Oct-05-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
59,"Bighorn","BH54",52.28112047,-116.0911032,"Oct-06-2019","12-Sep-20","GMT-6","Scent","Game trail",0,"Camera Hardware Failure","Reconyx PC900","Varied","Pointed down"
60,"Bighorn","BH55",52.29124998,-116.0123349,"Oct-02-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
61,"Bighorn","BH56",52.27800329,-115.9535134,"Oct-03-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
62,"Bighorn","BH57",52.29314141,-115.8179327,"Oct-03-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
63,"Bighorn","BH58",52.30871274,-115.7780745,"Oct-03-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
64,"Bighorn","BH59",52.32039034,-115.6689275,"Oct-02-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
65,"Bighorn","BH60",52.27848832,-115.5539544,"Oct-02-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
66,"Bighorn","BH61",52.24676839,-116.5487039,"Oct-06-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
67,"Bighorn","BH62",52.23090552,-116.4561948,"Oct-01-2019","8-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
68,"Bighorn","BH63",52.23846544,-116.3708851,"Oct-05-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
69,"Bighorn","BH64",52.25219769,-116.3026745,"Oct-05-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
70,"Bighorn","BH65",52.23913219,-116.2123146,"Oct-05-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
71,"Bighorn","BH66",52.24392207,-116.0790769,"Oct-06-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
72,"Bighorn","BH67",52.2593977,-116.0147717,"Oct-02-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
73,"Bighorn","BH68",52.21339615,-115.9742067,"Oct-01-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
74,"Bighorn","BH69",52.26134323,-115.8677773,"Oct-03-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
75,"Bighorn","BH72",52.26411682,-115.541248,"Oct-02-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
76,"Bighorn","BH73",52.19056516,-116.545733,"Oct-06-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
77,"Bighorn","BH74",52.17137342,-116.4852888,"Oct-02-2019","8-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
