"Site","radius","dense_conif","mod_conif","open_conif","shrubs","herb","mixed","barren","broadleaf","treed_wet","open_wet","water","regen","snow_ice","cultivation","cutblocks","industrials","mines","motorizedtrail","nonmotorizedtrail","pipelines","railways","residentials","roads","seismiclines","transmission","verges","wellsabandoned","wellsactive","ER","HR","NAT","NP","PLUZ","PP","PRA","WA","WP","WPP","PA_total","PA_noPRA","UP","elevation","d_to_pa_in","d_to_pa_out","d_to_road","d_to_res","pa_type"
"BH02",250,0,16.4905618914179,52.6752799713103,13.112274121161,17.0692332879629,0,0.652656102207537,0,0,0,0,0,0,0,0,0,0,0,0.340768408,0,0,0,0,1.047128348,0,0,0,0,0,0,0,0,100.000003252453,0,0,0,0,0,0,0,0,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",2500,6.80885707871703,64.4018898362455,22.5777296723934,2.90122139023927,2.58157414125838,0.522452179053398,0.201691876289683,0.004583906279311,0,0,0,0,0,0,0,0,0,0,0.086810832,0,0,0,0,0.36498255,0,0,0,0,0,0,0,0,100.000000015293,0,0,0,0,0,0,0,0,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",2750,7.86772738382065,63.8876837873139,21.4203379818759,3.02952387180241,2.90251187502921,0.511709842418846,0.257982482009333,0.003788334187189,0,0,0,0,0,0,0,0,0,0,0.081745133,0,0,0,0,0.342745939,0,0,0,0,0,0,0,0,99.999999937119,0,0,0,0,0,0,0,6.28810141733993e-08,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",3000,8.90967936632158,63.3609584899928,19.9419245191202,2.9204012116438,3.48203326386402,0.481246168286881,0.45203161505765,0.003183240512301,0,0,0,0,0,0,0,0,0,0,0.083618413,0,0,0,0,0.331683658,0,0,0,0,0,0,0,0,100.000000126452,0,0,0,0,0,0,0,0,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",3250,9.17802377531859,62.4771831484794,18.5782256031913,3.57086362312674,3.60082073981364,0.466522054957568,1.39949243519263,0.002712337528823,0,0,0,0,0,0,0,0,0,0,0.093041608,0,0,0,0,0.337202071,0,0,0,0,0,0,0,0,99.9999999511121,0,0,0,0,0,0,0,4.88879408067078e-08,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",3500,9.05150401837864,61.4216574774821,17.6133751886247,4.36700653372644,3.59820269100751,0.405463823980741,2.61480146970727,0.002338692418935,0,0,0,0,0,0,0,0,0,0,0.091469831,0,0,0,0,0.347347585,0,0,0,0,0,0,0,0,99.9999999728895,0,0,0,0,0,0,0,2.71105164983965e-08,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",3750,8.87378825979443,60.70022818558,16.4929208552809,4.67732903241782,3.79141484727403,0.389115829879436,3.77890230979591,0.002037255653819,0,0,0,0,0,0,0,0,0,0,0.086516083,0,0,0,0,0.334534706,0,0,0,0,0,0,0,0,99.9999999494542,0,0,0,0,0,0,0,5.05457649069285e-08,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",4000,8.9157565093718,59.461426843308,15.6126784988024,5.29687221859254,3.9815475232634,0.346791174615227,4.91542793958176,0.001790552799097,0,0,0,0,0,0,0,0,0,0,0.083323924,0,0,0,0,0.321958051,0,0,0,0,0,0,0,0,100.000000052501,0,0,0,0,0,0,0,0,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",4250,8.95778443460311,58.1538091678369,15.0342893743744,5.8576742897344,3.91998180172984,0.315208114849702,6.20142241044038,0.001586092263713,0,0,0,0,0,0,0,0,0,0,0.082115275,0,0,0,0,0.3163944,0,0,0,0,0,0,0,0,99.8996314887131,0,0,0,0,0,0,0,0.100368511286902,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",4500,8.73591649278969,56.9378190688295,14.6522650080364,6.31419246269206,3.81150634038818,0.301362237218649,7.62261684614473,0.001414752542933,0,0,0.137511322459692,0,0,0,0,0,0,0,0.085087178,0,0,0,0,0.314926316,0,0,0,0,0,0,0,0,99.6234430161954,0,0,0,0,0,0,0,0.376556983804591,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",4750,8.70396050503568,56.1375126144251,14.4982571504452,6.48875397672485,3.69183000022972,0.30591575001637,8.54128084834426,0.001269748221297,0,0,0.129514318572292,0,0,0,0,0,0,0,0.085091284,0,0,0,0,0.313149254,0,0,0,0,0,0,0,0,99.1951786282626,0,0,0,0,0,0,0,0.804821371737432,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",500,0.229243559801859,38.4745669877657,45.3065363237474,3.78251873673068,7.80949623094791,0.229243559801859,4.16839324584542,0,0,0,0,0,0,0,0,0,0,0,0.314195843,0,0,0,0,1.072642953,0,0,0,0,0,0,0,0,99.9999974628912,0,0,0,0,0,0,0,2.53710881281677e-06,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",5000,8.77927032590135,55.8614388530875,14.114744463333,6.57509425570027,3.58306990591518,0.345474422066613,9.10451464223278,0.001145946240485,0,0,0.116886516529515,0,0,0,0,0,0,0,0.086215756,0,0,0,0,0.312827218,0,0,0,0,0,0,0,0,98.6608622956963,0,0,0,0,0,0,0,1.33913770430371,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH02",750,0.295389204146636,46.4546295515997,36.3882294605243,4.11048493148227,9.6821418579383,0.980643628101124,2.08848197544216,0,0,0,0,0,0,0,0,0,0,0,0.282638871,0,0,0,0,0.942573013,0,0,0,0,0,0,0,0,100.000000246147,0,0,0,0,0,0,0,0,1716.579956,0,26026.90009,6388.16295,17072.25566,"PLUZ"
"BH03",1000,9.13121539257471,79.824204465197,8.84507452114796,0.469362796828663,0,0.872341533111085,0.857801163747614,0,0,0,0,0,0,0,0,0,0,0,0,0.993363409,0,0,0.673531046,0,0,1.212219059,0,0,0,0,0,0,0,0,59.9713691270703,0,0,0,59.9713691270703,0,40.0286308729297,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",1250,14.1459986358873,74.9668309798334,7.56298852713872,1.44777721124718,0,1.30664607620076,0.551421886808474,0.018336597320062,0,0,0,0,0,0,0,0,0,0,0,0.7915575,0,0,0.587379533,0.068481688,0,1.014938682,0,0,0,0,0,0,0,0,53.4043562834099,0,0,0,53.4043562834099,0,46.5956437165901,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",1500,13.0506015806089,75.0865810363416,7.30007302071733,2.14809400561344,0.114601688793198,1.33271877580217,0.941863129164825,0.025467041954044,0,0,0,0,0,0,0,0,0,0,0,0.678876736,0,0,0.544312037,0.114271644,0,0.896453412,0.097020767,0.227167623,0,0,0,0,0,0,47.8577036314166,0,0,0,47.8577036314166,0,52.1422963685834,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",1750,12.2268372379779,74.417580416271,7.61227835404772,3.61952904433116,0.084196135113348,1.22568262334214,0.795185720514957,0.018710252247411,0,0,0,0,0,0,0.333831407,0,0,0,0,0.627125509,0,0,0.517583264,0.229798594,0,0.816963333,0.13825889,0.171878208,0,0,0,0,0,0,43.3799995210409,0,0,0,43.3799995210409,0,56.6200004789591,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",2000,12.8258678001882,72.882517815143,8.15725166835065,3.8730307485359,0.073422190678598,1.5104440026633,0.608808093833167,0.014324896325486,0.054332745017246,0,0,0,0,0,1.192314177,0,0,0,0,0.664012984,0,0,0.491443465,0.325650844,0,0.758344843,0.105853424,0.131592962,0,0,0,0,0,0,39.7846955192891,0,0,0,39.7846955192891,0,60.2153044807109,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",2250,13.0699624071502,72.9394452615241,7.76744072917635,3.39166243516017,0.107524359571292,1.61791436422005,0.604913409758086,0.011318353639083,0.48981881338187,0,0,0,0,0,1.860400555,0,0,0.006196321,0,0.650965904,0,0,0.47743407,0.417916965,0,0.701657459,0.08363666,0.103973924,0,0,0,0,0,0,36.6560089303957,0,0,0,36.6560089303957,0,63.3439910696043,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",250,6.85487492076571,79.1677638104781,8.24432975749402,0,0,5.73303411017566,0,0,0,0,0,0,0,0,0,0,0,0,0,3.688297676,0,0,2.514768117,0,0,4.522483672,0,0,0,0,0,0,0,0,59.0818632062809,0,0,0,59.0818632062809,0,40.9181367937191,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",2500,13.2624680446404,73.3631302887683,7.11094662590213,3.33556579471625,0.087094219303176,1.56883997805602,0.60637522059423,0.009167812558229,0.656411985093068,0,0,0,0,0,2.512308749,0,0,0.01012615,0,0.593828226,0,0,0.489955876,0.482576383,0,0.68457774,0.21101918,0.084218383,0,0,0,0,0.039411592717078,0,33.8978142287176,0,0,0,33.8978142287176,0,99.9605884072829,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",2750,13.5825536235812,73.3658120594078,6.48334283027827,3.16259260569015,0.071978349553499,1.54103770374735,0.56704060268416,0.007576668374053,1.20688899319572,0.011176431707212,0,0,0,0,3.506377884,0,0,0.010904121,0.000838,0.526214482,0,0,0.47188593,0.568564049,0,0.645325644,0.21115767,0.134567042,0,0,0,0,0.464086008725363,0,31.3060052464011,0,0,0,31.3060052464011,0,99.5359139912746,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",3000,14.9721677003331,71.8415146656585,6.06060051824278,3.32486786646093,0.060481569731118,1.43569029385078,0.575235962495778,0.006366481024328,1.48838219595947,0.234692756064907,0,0,0,0,3.594600323,0,0,0.009162455,0.002562507,0.456160757,0,0,0.418414005,0.615708876,0,0.581426614,0.1774304,0.143928324,0,0,0,0,1.1544329192863,0,29.7985192144376,0,0,0,29.7985192144376,0,98.8455670807137,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",3250,16.5939181354031,69.7035427284566,6.38234214614215,3.24321426499344,0.051534413045425,1.66407223537968,0.501549718828506,0.005424675057413,1.36891122299996,0.485490422805106,0,0,0,0,3.087027305,0,0,0.007807035,0.003766768,0.400158383,0,0,0.369839959,0.602241347,0,0.519336368,0.151182774,0.122636726,0,0,0,0,1.96380605758959,0,29.8308674964431,0,0,0,29.8308674964431,0,98.0361939424104,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",3500,17.9415794241758,67.0415200072985,6.70639140493993,3.88351196086415,0.044435155957851,1.95056406285604,0.514512332143539,0.065483387727359,1.24818607692266,0.603740271978006,7.5890237343e-05,0,0,0,2.66176583,0,0,0.006731557,0.005244615,0.354929286,0,0,0.33204882,0.586796786,0,0.471474733,0.130356198,0.105742585,0,0,0,0,2.81446342647206,0,30.7995659735492,0,0,0,30.7995659735492,0,97.1855365735279,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",3750,18.8939832659137,64.543605589223,7.14304073462399,4.42372888696059,0.038707857420902,2.17204450956903,0.50252791477458,0.095528473931389,1.40045890100406,0.694426239564809,0.091947669564696,0,0,0,2.31868776,0,0,0.005863919,0.005717863,0.317802169,0,0,0.29626136,0.570409096,0,0.423375423,0.113554437,0.092113301,0,0,0,0,3.66455421979862,0,31.7759086517907,0,0,0,31.7759086517907,0,96.3354457802014,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",4000,19.249002329717,62.0697497960888,7.65904491305748,5.19786074218225,0.171156349371068,2.5713019210263,0.613508674217907,0.16726935731636,1.5246791022907,0.633855690852976,0.137872565524517,0,0,0,2.037904694,0,0,0.005153823,0.006055483,0.286894664,0,0,0.265573004,0.556979334,0,0.381444241,0.099803486,0.080958778,0,0,0,0,4.34766579462118,0,32.6822798849655,0,0,0,32.6822798849655,0,95.6523342053788,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",4250,19.1528593880668,60.7219004187227,8.11901389097734,5.42488463566836,0.472665182204248,2.71679117425916,1.12537111210304,0.154868670964162,1.39258900747981,0.561476661330129,0.122129104300621,0,0,0,1.805199417,0,0,0.004565316,0.006503481,0.260845842,0,0,0.239838963,0.531516515,0,0.346152101,0.088407076,0.071714217,0,0,0,0,4.94235651842973,0,33.0280551349334,0,0,0,33.0280551349334,0,95.0576434815703,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",4500,18.9979639200535,59.6751878374566,8.17700488041739,5.85165148146743,0.595861560108472,2.66309197573742,1.92072074518047,0.148549017001601,1.24215273264196,0.500822400176825,0.108935945801174,0.031851897926793,0,0,1.637984048,0,0,0.004072139,0.007902423,0.238652816,0,0,0.217952829,0.507326175,0,0.31599951,0.078856784,0.063967194,0,0,0,0,6.11021932273738,0,32.9403522733751,0,0,0,32.9403522733751,0,93.8897806772626,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",4750,19.1047117482401,58.2674240462129,8.09281255609752,6.01822382345657,0.732010425884472,2.53185633342797,2.90860708993685,0.139653700692005,1.11483893825084,0.513809064753632,0.097770613035666,0.168024083613798,0,0,1.606839973,0,0,0.003654772,0.009097326,0.219563517,0,0,0.200109296,0.527946114,0,0.291701611,0.070774399,0.057410912,0,0,0,0,7.51300942802505,0,32.3517855047611,0,0,0,32.3517855047611,0,92.486990571975,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
"BH03",500,2.36746564229099,89.4595465897195,6.56828201467486,0,0,1.60470491854366,0,0,0,0,0,0,0,0,0,0,0,0,0,1.926048556,0,0,1.274723274,0,0,2.294149977,0,0,0,0,0,0,0,0,61.9274210482826,0,0,0,61.9274210482826,0,38.0725789517174,1534.359985,0,31925.24038,49.26724871,15169.52298,"PRA"
